1,部屋を片付ける,"2019-10-01 11:00:00",1
2,PHPの本を買いに行く,"2019-10-01 12:34:56",1
3,PHPを勉強する,"2019-10-02 14:00:30",1
4,新規追加,"2023-06-21 17:15:24",0
5,賃貸探し,"2023-06-21 17:28:14",0
6,PHPの学習,"2023-06-21 17:30:55",1
7,完了済タスク画面,"2023-06-21 17:36:25",1
8,CSVファイルへの直接アクセス制御,"2023-06-21 17:37:04",0
9,date関数の修正,"2023-07-11 02:50:11",0
10,完了済タスクの表示もできると良いかも,"2023-07-11 02:50:40",0
11,時間修正,"2023-07-18 02:40:01",0
12,新規追加,"2023-07-18 02:43:26",1
13,未解決,"2023-07-18 02:45:38",1
14,PHPの学習,"2023-07-18 02:48:54",0
15,新規追加,"2023-07-18 12:05:37",1
16,タイムゾーン修正後,"2023-07-18 12:08:49",0
